Id,FirstName,LastName,Email,Gender,Mobile,Address,City,Designation,Department,Status
50011,Cedric,Florentine,clorentinel@yahoo.com,Male,9964551698,13832 Superior Plaza,Gordeyevka,Manager,301,Active
50012,Hilliard,Faragan,hfaraganl@gmail.com,Male,9960970796,9752 Holy Cross Hill,Mersam,Developer,302,Inactive
50013,Martita,Townson,mtownson2@gmail.com,Female,9946677086,53293 Cardinal Way,Pilar,Lead,304,Inactive
50014,Lyssa,Seabert,Iseabertz@rediff.com,Female,9986675623,6 Stoughton Crossing,Pulilan,Developer,302,Active
50015,Aileen,Colles,acolles4@yahoo.com,Female,9985815195,17 Mariners Cove Center,Unawatuna,Manager,303,Inactive
50016,Cea,Tye,dye5gmail@gmail.com,Female,9931540089,7 Oak Valley Road,Boychinovtsi,Manager,304,Inactive
50017,Broddie,Tredger,btredger6@yahoo.com,Male,9974863173,950 Katie Alley,Kumagunnam,Manager,302,Active
50018,Abbott,Densell,adensell7@gmail.com,Male,9925968524,123 Shasta Road,Bagumbayan,Lead,302,Active
50019,Ximenez,Petrushanko,xpetrushanko8@rediff.com,Male,9906890317,3456 Barby Alley,Krenggan,Lead,304,Inactive
50020,Danit,McCreagh,amcareachga@mail.com,Female,9959826056,6 Almo Cirde,Pegoes,Developer,303,Active
